date,home,away,crowd_home_pct,crowd_draw_pct,crowd_away_pct
2026-06-11,Mexico,South Africa,,,
2026-06-11,South Korea,Czech Republic,,,
2026-06-12,Canada,Bosnia and Herzegovina,63,21,16
2026-06-12,United States,Paraguay,64,20,16
2026-06-13,Qatar,Switzerland,5,7,88
2026-06-13,Brazil,Morocco,53,29,18
2026-06-13,Haiti,Scotland,4,8,88
2026-06-13,Australia,Turkey,9,22,69
2026-06-14,Germany,Curaçao,97,2,1
2026-06-14,Netherlands,Japan,60,26,14
2026-06-14,Ivory Coast,Ecuador,44,41,14
2026-06-14,Sweden,Tunisia,64,26,11
2026-06-15,Spain,Cape Verde,97,2,1
2026-06-15,Belgium,Egypt,81,14,5
2026-06-15,Saudi Arabia,Uruguay,6,14,81
2026-06-15,Iran,New Zealand,35,44,21
2026-06-16,France,Senegal,88,9,3
2026-06-16,Iraq,Norway,2,6,91
2026-06-16,Argentina,Algeria,80,14,6
2026-06-16,Austria,Jordan,83,14,3
2026-06-17,Portugal,DR Congo,94,5,1
2026-06-17,England,Croatia,53,39,8
2026-06-17,Ghana,Panama,58,36,7
2026-06-17,Uzbekistan,Colombia,3,8,89
2026-06-18,Czech Republic,South Africa,54,31,15
2026-06-18,Switzerland,Bosnia and Herzegovina,69,24,7
2026-06-18,Canada,Qatar,73,20,7
2026-06-18,Mexico,South Korea,52,34,15
2026-06-19,United States,Australia,73,20,7
2026-06-19,Scotland,Morocco,4,16,79
2026-06-19,Brazil,Haiti,95,4,1
2026-06-19,Turkey,Paraguay,56,33,11
2026-06-20,Netherlands,Sweden,56,32,12
2026-06-20,Germany,Ivory Coast,82,14,4
2026-06-20,Ecuador,Curaçao,81,15,4
2026-06-20,Tunisia,Japan,10,19,71
2026-06-21,Spain,Saudi Arabia,95,4,1
2026-06-21,Belgium,Iran,90,8,2
2026-06-21,Uruguay,Cape Verde,76,18,6
2026-06-21,New Zealand,Egypt,9,21,70
2026-06-22,Argentina,Austria,91,8,2
2026-06-22,France,Iraq,98,1,0
2026-06-22,Norway,Senegal,33,42,25
2026-06-22,Jordan,Algeria,5,17,78
2026-06-23,Portugal,Uzbekistan,95,4,1
2026-06-23,England,Ghana,92,6,1
2026-06-23,Panama,Croatia,2,9,89
2026-06-23,Colombia,DR Congo,58,33,9
2026-06-24,Switzerland,Canada,36,47,17
2026-06-24,Bosnia and Herzegovina,Qatar,61,29,10
2026-06-24,Scotland,Brazil,3,8,89
2026-06-24,Morocco,Haiti,95,3,1
2026-06-24,Czech Republic,Mexico,7,30,64
2026-06-24,South Africa,South Korea,9,24,67
