Team,Top11_Avg_Minutes,Physical_Status,Power_Modifier
England,3087.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Spain,3086.0,🟢 FRAÎCHEUR OPTIMALE,1.05
France,2960.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Germany,2868.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Netherlands,2721.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Portugal,2627.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Brazil,2609.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Argentina,2562.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Denmark,2530.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Senegal,2421.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Austria,2418.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Belgium,2362.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Switzerland,2332.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Norway,2330.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Uruguay,2315.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Croatia,2275.0,🟢 FRAÎCHEUR OPTIMALE,1.05
United States,2275.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Ivory Coast,2254.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Poland,2211.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Turkey,2066.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Australia,2030.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Japan,1993.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Sweden,1978.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Colombia,1963.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Ghana,1961.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Morocco,1853.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Czechia,1733.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Scotland,1558.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Mexico,1516.0,🟢 FRAÎCHEUR OPTIMALE,1.05
Egypt,1485.0,🟡 MANQUE DE RYTHME,0.95
Tunisia,1413.0,🟡 MANQUE DE RYTHME,0.95
South Africa,1371.0,🟡 MANQUE DE RYTHME,0.95
Saudi Arabia,1352.0,🟡 MANQUE DE RYTHME,0.95
South Korea,1321.0,🟡 MANQUE DE RYTHME,0.95
Bosnia and Herzegovina,1215.0,🟡 MANQUE DE RYTHME,0.95
Ecuador,1038.0,🟡 MANQUE DE RYTHME,0.95
Panama,989.0,🟡 MANQUE DE RYTHME,0.95
Canada,939.0,🟡 MANQUE DE RYTHME,0.95
