Team,Player_Name,Pos
United States,Weston McKennie,MF
United States,Chris Richards,DF
United States,Joe Scally,"DF,MF"
United States,Mark McKenzie,DF
United States,Brenden Aaronson,"MF,FW"
United States,Kristoffer Lund,"DF,MF"
United States,Timothy Weah,"MF,DF"
United States,Folarin Balogun,FW
United States,Tanner Tessmann,MF
United States,James Sands,MF
United States,Tyler Adams,MF
United States,Noahkai Banks,DF
United States,Malik Tillman,MF
United States,Christian Pulisic,FW
United States,Antonee Robinson,"DF,MF"
United States,Johnny Cardoso,MF
United States,Yunus Musah,MF
United States,Damion Downs,FW
United States,Gio Reyna,MF
United States,Lennard Maloney,"DF,MF"
United States,Alex Freeman,DF
United States,Kevin Paredes,MF
United States,Ben Cremaschi,MF
England,Jordan Pickford,GK
England,James Garner,"MF,DF"
England,Jarrod Bowen,"MF,FW"
England,Elliot Anderson,MF
England,James Tarkowski,DF
England,Dean Henderson,GK
England,Morgan Rogers,MF
England,Tyrick Mitchell,MF
England,Luke Shaw,DF
England,Morgan Gibbs-White,MF
England,Kyle Walker,"DF,MF"
England,Declan Rice,MF
England,Ezri Konsa,DF
England,Lloyd Kelly,DF
England,Alex Scott,MF
England,Ollie Watkins,FW
England,Lewis Dunk,DF
England,Jayden Bogle,"MF,DF"
England,Trevoh Chalobah,DF
England,Marcus Tavernier,MF
England,Jaidon Anthony,MF
England,Dominic Calvert-Lewin,FW
England,Nico O’Reilly,"DF,MF"
Morocco,Omar El Hilali,DF
Morocco,Ilyas Chaira,"MF,FW"
Morocco,Abde Ezzalzouli,"MF,FW"
Morocco,Sofiane Diop,"MF,FW"
Morocco,Samir El Mourabet,MF
Morocco,Azzedine Ounahi,MF
Morocco,Bilal El Khannouss,"MF,FW"
Morocco,Chemsdine Talbi,"MF,FW"
Morocco,Abdel Abqar,DF
Morocco,Abdelhamid Ait Boudlal,DF
Morocco,Nayef Aguerd,DF
Morocco,Achraf Hakimi,DF
Morocco,Yassine Kechta,MF
Morocco,Sofyan Amrabat,MF
Morocco,Brahim Díaz,"MF,FW"
Morocco,Youssef Maleh,MF
Morocco,Amine Adli,MF
Morocco,Sofiane Boufal,"MF,FW"
Morocco,Walid Cheddira,FW
Morocco,Neil El Aynaoui,MF
Morocco,Noussair Mazraoui,"DF,MF"
Morocco,Youssef El-Arabi,FW
Morocco,Issa Diop,DF
Tunisia,Rani Khedira,MF
Tunisia,Montassar Talbi,DF
Tunisia,Ellyes Skhiri,"MF,DF"
Tunisia,Hannibal Mejbri,MF
Tunisia,Ali Abdi,"MF,DF"
Tunisia,Elias Saad,"MF,FW"
Tunisia,Ismaël Gharbi,MF
Ghana,Kojo Peprah Oppong,DF
Ghana,Elisha Owusu,MF
Ghana,Ransford Königsdörffer,"FW,MF"
Ghana,Gideon Mensah,DF
Ghana,Iñaki Williams,"MF,FW"
Ghana,Terry Yegbe,DF
Ghana,Derrick Köhn,"MF,DF"
Ghana,Antoine Semenyo,MF
Ghana,Marvin Senaya,"DF,MF"
Ghana,Kwasi Sibo,MF
Ghana,Mohammed Kudus,"MF,FW"
Ghana,Antoine Semenyo,"MF,FW"
Ghana,Alidu Seidu,DF
Ghana,Mohammed Salisu,DF
Ghana,Kamaldeen Sulemana,MF
Ghana,Caleb Ekuban,"FW,MF"
Ghana,Thomas Partey,MF
Ghana,Salis Abdul Samed,MF
Ghana,Ibrahim Sulemana,MF
Ghana,Nathaniel Adjei,DF
Ghana,Joseph Aidoo,DF
Ghana,Ibrahim Osman,"MF,FW"
Ghana,Francis Abu,MF
Saudi Arabia,Saud Abdulhamid,MF
France,Jean Butez,GK
France,Adrien Truffert,DF
France,Mike Maignan,GK
France,Pierre Kalulu,"DF,MF"
France,Florian Lejeune,DF
France,Ibrahima Konaté,DF
France,Maxence Lacroix,DF
France,Michel Ndary Adopo,MF
France,Guillaume Restes,GK
France,Matthieu Udol,"MF,DF"
France,Robin Risser,GK
France,Oumar Solet,DF
France,Maxime Estève,DF
France,Enzo Le Fée,"MF,FW"
France,Malang Sarr,DF
France,Brice Samba,GK
France,Kévin Danois,MF
France,Ludovic Ajorque,FW
France,Nordi Mukiele,DF
France,Joris Chotard,MF
France,Valentin Rongier,MF
France,Lucas Da Cunha,MF
France,Yann Gboho,"MF,FW"
Brazil,Igor Thiago,FW
Brazil,Vitor Reis,DF
Brazil,Dodô,"DF,MF"
Brazil,João Gomes,MF
Brazil,Vinicius Júnior,"FW,MF"
Brazil,Natan,DF
Brazil,André,MF
Brazil,Gabriel Magalhães,DF
Brazil,Evanilson,FW
Brazil,João Pedro,"FW,MF"
Brazil,Casemiro,MF
Brazil,Luiz Lúcio Reis Júnior,GK
Brazil,Matheus Cunha,"MF,FW"
Brazil,Bruno Guimarães,MF
Brazil,Wesley,MF
Brazil,Antony,"MF,FW"
Brazil,Alisson,GK
Brazil,Bernardo,DF
Brazil,Igor Jesus,FW
Brazil,Éderson,MF
Brazil,Rômulo,FW
Brazil,Gleison Bremer,DF
Brazil,Abner,"DF,MF"
Germany,Bernd Leno,GK
Germany,Jeremy Toljan,DF
Germany,Moritz Nicolas,GK
Germany,Patrick Mainka,DF
Germany,Maximilian Eggestein,MF
Germany,Noah Atubolu,GK
Germany,Marvin Schwäbe,GK
Germany,Finn Dahmen,GK
Germany,Oliver Baumann,GK
Germany,Alexander Nübel,GK
Germany,Malick Thiaw,DF
Germany,Waldemar Anton,DF
Germany,Nicolai Remberg,MF
Germany,Mio Backhaus,GK
Germany,Matthias Ginter,DF
Germany,Robin Koch,DF
Germany,Robin Fellhauer,MF
Germany,Diant Ramaj,GK
Germany,Kevin Schade,"MF,FW"
Germany,Angelo Stiller,MF
Germany,Danny da Costa,"DF,MF"
Germany,Nathaniel Brown,"MF,DF"
Germany,Rocco Reitz,MF
Scotland,Scott McTominay,MF
Scotland,John McGinn,MF
Scotland,Josh Doig,DF
Scotland,Che Adams,FW
Scotland,Oliver Burke,"FW,MF"
Scotland,Lewis Ferguson,MF
Scotland,Kieron Bowie,FW
Scotland,Andrew Robertson,DF
Scotland,Lennon Miller,MF
Scotland,Ryan Christie,MF
Scotland,Billy Gilmour,MF
Scotland,Tom Cairney,MF
Scotland,Aaron Hickey,"DF,MF"
Scotland,Nathan Patterson,DF
Scotland,Andy Irving,MF
Scotland,Ben Gannon-Doak,MF
Scotland,Angus Gunn,GK
Scotland,Tyler Fletcher,MF
Austria,Romano Schmid,"MF,FW"
Austria,David Affengruber,DF
Austria,Christoph Baumgartner,MF
Austria,Leopold Querfeld,DF
Austria,Nicolas Seiwald,MF
Austria,Marco Friedl,DF
Austria,Valentino Lazaro,MF
Austria,Phillipp Mwene,MF
Austria,Marco Grüll,"MF,FW"
Austria,Konrad Laimer,DF
Austria,Christopher Trimmel,"MF,DF"
Austria,Xaver Schlager,MF
Austria,Samson Baidoo,DF
Austria,Marcel Sabitzer,MF
Austria,Patrick Wimmer,MF
Austria,Kevin Danso,DF
Austria,Stefan Posch,DF
Austria,Kevin Stöger,MF
Austria,Alexander Prass,MF
Austria,Philipp Lienhart,DF
Austria,Mathias Honsak,"MF,FW"
