MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY
1,1872-11-30,Friendly,Scotland,England,0.0,0.0,1,Friendly
1,1872-11-30,Friendly,England,Scotland,0.0,0.0,0,Friendly
2,1873-03-08,Friendly,England,Scotland,4.0,2.0,1,Friendly
2,1873-03-08,Friendly,Scotland,England,2.0,4.0,0,Friendly
3,1874-03-07,Friendly,Scotland,England,2.0,1.0,1,Friendly
3,1874-03-07,Friendly,England,Scotland,1.0,2.0,0,Friendly
4,1875-03-06,Friendly,England,Scotland,2.0,2.0,1,Friendly
4,1875-03-06,Friendly,Scotland,England,2.0,2.0,0,Friendly
5,1876-03-04,Friendly,Scotland,England,3.0,0.0,1,Friendly
5,1876-03-04,Friendly,England,Scotland,0.0,3.0,0,Friendly
6,1876-03-25,Friendly,Scotland,Wales,4.0,0.0,1,Friendly
6,1876-03-25,Friendly,Wales,Scotland,0.0,4.0,0,Friendly
7,1877-03-03,Friendly,England,Scotland,1.0,3.0,1,Friendly
7,1877-03-03,Friendly,Scotland,England,3.0,1.0,0,Friendly
8,1877-03-05,Friendly,Wales,Scotland,0.0,2.0,1,Friendly
8,1877-03-05,Friendly,Scotland,Wales,2.0,0.0,0,Friendly
9,1878-03-02,Friendly,Scotland,England,7.0,2.0,1,Friendly
9,1878-03-02,Friendly,England,Scotland,2.0,7.0,0,Friendly
10,1878-03-23,Friendly,Scotland,Wales,9.0,0.0,1,Friendly
10,1878-03-23,Friendly,Wales,Scotland,0.0,9.0,0,Friendly
11,1879-01-18,Friendly,England,Wales,2.0,1.0,1,Friendly
11,1879-01-18,Friendly,Wales,England,1.0,2.0,0,Friendly
12,1879-04-05,Friendly,England,Scotland,5.0,4.0,1,Friendly
12,1879-04-05,Friendly,Scotland,England,4.0,5.0,0,Friendly
13,1879-04-07,Friendly,Wales,Scotland,0.0,3.0,1,Friendly
13,1879-04-07,Friendly,Scotland,Wales,3.0,0.0,0,Friendly
14,1880-03-13,Friendly,Scotland,England,5.0,4.0,1,Friendly
14,1880-03-13,Friendly,England,Scotland,4.0,5.0,0,Friendly
15,1880-03-15,Friendly,Wales,England,2.0,3.0,1,Friendly
15,1880-03-15,Friendly,England,Wales,3.0,2.0,0,Friendly
16,1880-03-27,Friendly,Scotland,Wales,5.0,1.0,1,Friendly
16,1880-03-27,Friendly,Wales,Scotland,1.0,5.0,0,Friendly
17,1881-02-26,Friendly,England,Wales,0.0,1.0,1,Friendly
17,1881-02-26,Friendly,Wales,England,1.0,0.0,0,Friendly
18,1881-03-12,Friendly,England,Scotland,1.0,6.0,1,Friendly
18,1881-03-12,Friendly,Scotland,England,6.0,1.0,0,Friendly
19,1881-03-14,Friendly,Wales,Scotland,1.0,5.0,1,Friendly
19,1881-03-14,Friendly,Scotland,Wales,5.0,1.0,0,Friendly
20,1882-02-18,Friendly,Northern Ireland,England,0.0,13.0,1,Friendly
20,1882-02-18,Friendly,England,Northern Ireland,13.0,0.0,0,Friendly
21,1882-02-25,Friendly,Wales,Northern Ireland,7.0,1.0,1,Friendly
21,1882-02-25,Friendly,Northern Ireland,Wales,1.0,7.0,0,Friendly
22,1882-03-11,Friendly,Scotland,England,5.0,1.0,1,Friendly
22,1882-03-11,Friendly,England,Scotland,1.0,5.0,0,Friendly
23,1882-03-13,Friendly,Wales,England,5.0,3.0,1,Friendly
23,1882-03-13,Friendly,England,Wales,3.0,5.0,0,Friendly
24,1882-03-25,Friendly,Scotland,Wales,5.0,0.0,1,Friendly
24,1882-03-25,Friendly,Wales,Scotland,0.0,5.0,0,Friendly
25,1883-02-03,Friendly,England,Wales,5.0,0.0,1,Friendly
25,1883-02-03,Friendly,Wales,England,0.0,5.0,0,Friendly
26,1883-02-24,Friendly,England,Northern Ireland,7.0,0.0,1,Friendly
26,1883-02-24,Friendly,Northern Ireland,England,0.0,7.0,0,Friendly
27,1883-03-10,Friendly,England,Scotland,2.0,3.0,1,Friendly
27,1883-03-10,Friendly,Scotland,England,3.0,2.0,0,Friendly
28,1883-03-12,Friendly,Wales,Scotland,0.0,3.0,1,Friendly
28,1883-03-12,Friendly,Scotland,Wales,3.0,0.0,0,Friendly
29,1883-03-17,Friendly,Northern Ireland,Wales,1.0,1.0,1,Friendly
29,1883-03-17,Friendly,Wales,Northern Ireland,1.0,1.0,0,Friendly
