Team,Squad_Power_Index,Avg_Top11_Minutes,Avg_Top11_Impact
Netherlands,99.0,2720.6363636363635,7.454545454545454
England,99.0,3087.454545454545,12.818181818181818
Portugal,99.0,2626.909090909091,9.727272727272728
France,99.0,2960.0,8.090909090909092
Brazil,99.0,2609.2727272727275,13.818181818181818
Croatia,99.0,2275.181818181818,8.909090909090908
Argentina,99.0,2562.3636363636365,12.272727272727272
Norway,99.0,2330.2727272727275,9.363636363636363
Spain,99.0,3085.5454545454545,6.545454545454546
Côte d'Ivoire,98.69090909090907,2254.090909090909,8.181818181818182
Germany,98.29151515151516,2868.454545454545,5.727272727272728
Denmark,97.5909090909091,2529.5454545454545,6.818181818181818
Senegal,95.18666666666668,2420.818181818182,6.545454545454546
Switzerland,94.9569696969697,2332.0,6.818181818181818
Belgium,94.71454545454546,2361.5454545454545,6.636363636363637
Austria,94.19454545454543,2418.0,6.2727272727272725
United States,93.56424242424242,2275.2727272727275,6.636363636363637
Uruguay,93.45636363636363,2314.909090909091,6.454545454545454
Morocco,89.52121212121212,1852.7272727272727,7.090909090909091
Turkey,89.18181818181819,2065.909090909091,6.181818181818182
Poland,87.29454545454544,2210.7272727272725,5.090909090909091
Colombia,86.85151515151516,1962.7272727272727,5.909090909090909
Ghana,85.23515151515151,1960.8181818181815,5.454545454545454
Sweden,84.83272727272727,1978.3636363636365,5.2727272727272725
Egypt,83.425,1485.0,6.75
Japan,81.84121212121212,1992.636363636364,4.363636363636363
Czech Republic,80.60909090909091,1733.1818181818182,5.0
Saudi Arabia,79.02666666666667,1352.0,6.0
Scotland,76.68848484848485,1558.4545454545455,4.545454545454546
South Africa,75.78,1371.0,5.0
Mexico,71.408,1515.6,3.2
Australia,70.56666666666666,2030.0,1.0
Korea Republic,69.86666666666667,1321.25,3.5
Bosnia and Herzegovina,67.97515151515151,1215.1818181818182,3.363636363636364
Tunisia,66.34,1413.0,2.142857142857143
Canada,65.3488888888889,938.6666666666666,3.6666666666666665
Panama,63.68666666666667,989.0,3.0
Ecuador,58.39,1038.0,1.3
