date,home_team,away_team,home_score,away_score
2026-06-11,Mexico,South Africa,2,0
2026-06-11,South Korea,Czech Republic,2,1
2026-06-12,Canada,Bosnia and Herzegovina,1,1
2026-06-12,United States,Paraguay,4,1
2026-06-13,Qatar,Switzerland,1,1
2026-06-13,Brazil,Morocco,1,1
2026-06-13,Haiti,Scotland,0,1
2026-06-13,Australia,Turkey,2,0
2026-06-14,Germany,Curaçao,7,1
2026-06-14,Netherlands,Japan,2,2
2026-06-14,Ivory Coast,Ecuador,1,0
2026-06-14,Sweden,Tunisia,5,1
2026-06-15,Spain,Cape Verde,0,0
2026-06-15,Belgium,Egypt,1,1
2026-06-15,Saudi Arabia,Uruguay,1,1
2026-06-15,Iran,New Zealand,2,2
2026-06-16,France,Senegal,3,1
2026-06-16,Iraq,Norway,1,4
2026-06-16,Argentina,Algeria,3,0
2026-06-16,Austria,Jordan,3,1
2026-06-17,Portugal,DR Congo,1,1
2026-06-17,England,Croatia,4,2
2026-06-17,Ghana,Panama,1,0
2026-06-17,Uzbekistan,Colombia,1,3
2026-06-18,Czech Republic,South Africa,1,1
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1
2026-06-18,Canada,Qatar,6,0
2026-06-18,Mexico,South Korea,1,0
2026-06-19,United States,Australia,2,0
2026-06-19,Scotland,Morocco,0,1
2026-06-19,Brazil,Haiti,3,0
2026-06-19,Turkey,Paraguay,0,1
2026-06-20,Netherlands,Sweden,5,1
2026-06-20,Germany,Ivory Coast,2,1
2026-06-20,Ecuador,Curaçao,0,0
2026-06-20,Tunisia,Japan,0,4
2026-06-21,Spain,Saudi Arabia,4,0
2026-06-21,Belgium,Iran,0,0
2026-06-21,Uruguay,Cape Verde,2,2
2026-06-21,New Zealand,Egypt,1,3
2026-06-22,Argentina,Austria,2,0
2026-06-22,France,Iraq,3,0
2026-06-22,Norway,Senegal,3,1
2026-06-22,Jordan,Algeria,1,2
2026-06-23,Portugal,Uzbekistan,5,0
2026-06-23,England,Ghana,0,0
2026-06-23,Panama,Croatia,0,1
2026-06-23,Colombia,DR Congo,1,0
2026-06-24,Switzerland,Canada,2,1
2026-06-24,Bosnia and Herzegovina,Qatar,3,1
2026-06-24,Scotland,Brazil,0,3
2026-06-24,Morocco,Haiti,4,2
2026-06-24,Czech Republic,Mexico,0,2
2026-06-24,South Africa,South Korea,1,0
2026-06-25,Ecuador,Germany,,
2026-06-25,Curaçao,Ivory Coast,,
2026-06-25,Tunisia,Netherlands,,
2026-06-25,Japan,Sweden,,
2026-06-25,Turkey,United States,,
2026-06-25,Paraguay,Australia,,
2026-06-26,Norway,France,,
2026-06-26,Senegal,Iraq,,
2026-06-26,Uruguay,Spain,,
2026-06-26,Cape Verde,Saudi Arabia,,
2026-06-26,New Zealand,Belgium,,
2026-06-26,Egypt,Iran,,
2026-06-27,Panama,England,,
2026-06-27,Croatia,Ghana,,
2026-06-27,Colombia,Portugal,,
2026-06-27,DR Congo,Uzbekistan,,
2026-06-27,Jordan,Argentina,,
2026-06-27,Algeria,Austria,,
